"","country","year","cellphones"
"4724","Comoros","1982",0
"4725","Congo, Dem. Rep.","1982",0
"4726","Congo, Rep.","1982",0
"4727","Cook Is","1982",0
"4728","Costa Rica","1982",0
"4729","Cote d'Ivoire","1982",0
"4730","Croatia","1982",0
"4731","Cuba","1982",0
"4732","Cyprus","1982",0
"4733","Czech Republic","1982",0
"4734","Czechoslovakia","1982",0
"4735","Denmark","1982",0.140550991118739
"4736","Djibouti","1982",0
"4737","Dominica","1982",0
"4738","Dominican Republic","1982",0
"4739","East Germany","1982",0
"4740","Ecuador","1982",0
"4741","Egypt","1982",0
"4742","El Salvador","1982",0
"4743","Equatorial Guinea","1982",0
"4744","Eritrea","1982",0
"4745","Eritrea and Ethiopia","1982",0
"4746","Estonia","1982",0
"4747","Ethiopia","1982",0
"4748","Faeroe Islands","1982",0
